"RT MemeeVida BRAxSUI  O Alisson estourou a bola do Kiko "	0
"RT CBFFutebol 1T 25min  Brasil vai vencendo por 1 a 0 nessa estreia Vamos torcer pelo segundo WorldCup  🇧🇷 10 🇨🇭  BRAxSUI"	1
"RT VitoriaRiker BRAxSUI Temos chance seguimos com fé Homer falou tá falado "	1
"RT SalvatorePabs Descrição do juiz fdp no wikipedia juro que não é montagem BRAxSUI TeamBrazil BrasilxPortugual "	2
"RT malikyourself L A D R Ã O BRAxSUI  BRA  VaiBrasil  Brazil "	2
"RT daeguKTH BRAxSUI  Vamos embora tesouro "	0
"Kkkkkkk a Suíça contando vitória porque empatou só me mostra que ela tem uma seleção fraca que empatou com uma sele… "	0
"RT fuinha Dois camisas 11 Um a gente beija o outro a gente desce o socão   BRAxSUI "	0
"RT possibleangel menino de ouro é vidente tmb  mostratuaforça  BRAxSUI "	1
"copa2018 BRAxSUI VAR Vejo Após Reclamarem"	2
"RT HillaryChruz BRAxSUI Ora ora ora  olha só oq temos aqui "	0
"RT dborareality A VERDADE É ESSA MEXEU COM O PAÍS ERRADO Copa2018⁠ ⁠BRA⁠ ⁠ BRAxSUI "	2
"BRAxSUI sextafeira tem mais parafernália"	0
"RT straygin que vocês não consigam dormir por conta de consciência pesada BRAxSUI "	2
"RT dallasapatas A TORCIDA BRASILEIRA EH A TORCIDA MAIS LINDA DO MUNDO BRAxSUI "	1
"RT jessica11978617 Avisa pra Suíça que oq eles chamam de bandeira nacional chamamos se símbolo do Samu  BraxSui Copa2018 Guerrame…"	0
"GUERRA MSM HEIN BRAxSUI "	2
"RT acarou ANDURINHA DO SALÃOCHUTA ELE NEYMARZAO BRAxSUI "	2
"RT mrgrounder brasil empatou mas pelo menos a alemanha perdeu BRAxSUI"	2
"RT memesdacopa2018 esses memes do Neymar BRAxSUI "	0
"RT CBFFutebol VOLTAMOS AO JOGO  🇧🇷 10 🇨🇭  BRAxSUI "	0
"RT xxyangjeongin MOSTRA TUA FORÇA BRASIL  CAI DE CHUTE NESSAS POCS 💚💛💚💛💚 BRAxSUI BRA Copa2018"	0
"RT Annaclaraah1 Sobre o jogo do BRAxSUI  Como é  Como o camisa 11 vê "	0
"Depois de uma queda virá ressurreição Não estou falando de seleção não caí da moto e tô com o joelho fodido vaibrasil BRAxSUI"	0
"mostratuaforça BRA Copa2018 eu acho é graça se isso acontecer Eles n sabem com quem estao se metendo Coitados… "	1
"Brasil x Suíça  Melhores Memes    worldcuprussia2018 VemHexa RumoaoHexa Rusia2018… "	0
"RT ellilpm Acho que a CBF poderia mandar uma brusinha do Brasil pra cada um dos jogadores da Suíça já que eles queriam tanto arrancar a f…"	0
"RT srdeabo Paulo Maluf está dividido hoje BRAxSUI Copa2018 "	0
"Só eu reparei que o árbitro do jogo Brasilxsuiça é um português infiltrado tentando roubar o nosso ouro de novo… "	2
"RT RainhaCarminha O Brasil só não fez o segundo gol porque o juiz roubou nosso pênalti BRAXSUI "	2
"RT CopaDosMemes 🇧🇷🇧🇷🇧🇷 SE SEU HOBBY É          comprar Juiz eu tô fora vou te criticar sim amigo 😠🇧🇷🇧🇷🇧🇷BRAxSUI"	2
"RT oiMone Vamo lá  Aonde está esse juiz  BRAxSUI "	0
"RT Lenzo04 Neymar é a nova Mãe Diná BRAxSUI "	0
"RT TMZMYPURPOSE O GOLAÇO DO COUTINHO MERECE SER APRECIADO DE NOVO BRAxSUI   "	1
"RT iwantcaniff tenho certeza que o professor de La Casa De Papel ficou orgulhoso ao assistir o jogo pq meus amigos o maior roubo da his…"	2
"RT AHSoares16 Indo dormir pq hj eu já    Vibrei com a derrota da Alemanha  Gritei com gol do Coutinho  Estraçalhei o jogador que derr…"	1
"RT SiteCTV Estreia do Brasil na “Copa” ultrapassa 55 pontos no PNT e vai à 41 no Uruguai  Copa2018 BRAxSUI"	0
"RT carolpdoming A Suíça pensando que tá arrasando nos memes Coitados chega a dar pena  BRAXSUI "	2
"BRAxSUI eu to chocadi"	0
"RT osgatosdacopa LUGARES ONDE EU GOSTARIA DE SENTAR 🔥   BRAxSUI HOJE TEM BRASIL "	0
"RT MisterBrickTop O que aconteceu Brasil Ontem você riu da Argentina e hoje você tem que comer isso 😂😂😂😂😂😂😂😂 Se você não gosta de choc…"	0
"Paulo Maluf está dividido hoje BRAxSUI Copa2018 "	0
"RT mrollyveira Só eu reparei que o árbitro do jogo Brasilxsuiça é um português infiltrado tentando roubar o nosso ouro de novo  brasi…"	0
"RT zaynjrmalik um bj pra quem fez esse gif BRAxSUI CopaDoMundo "	0
"RT CBFFutebol Um gol assinado por ele na especialidade do garoto Que golaço hein PhilCoutinho VAI BRASIL BRAxSUI WorldCup  📷 L…"	1
"Sem querer fazer muito mimimi mas TODOS OS ÁRBITROS ESTÃO USANDO O VAR NESSA COPA MENOS O FILHO DA PUTA QUE APITO… "	2
"RT taylorknew NÃO TO SURPRESA QUE ESSE JOGO FOI ROUBADO O MUNDO NÃO PODE VER O BRASIL QUE JÁ QUER ROUBAR PRIMEIRO PORTUGAL DEPOIS TEMER…"	2
"RT comunacritico Continuo achando que o grande problema desse jogo contra a Suíça foi a maldição dessa camisa amarela estilo Pato da Fies…"	2
"RT GusArag3 esse juiz conseguiu ser mais odiado q o Temer BRAxSUI "	2
"RT lunarcollins a raiva que eu passei com esse juiz e o camisa 11 da suiça BRAxSUI "	2
